Throughput(%),Latency(Max GC pause time)(s),"Type of GC(0->parllal,1->serial)",Application runtime(s),FULL GC,GC,XMX
62.1005076142132,0.005242,0,0.394,45,4,2
12.967286101432393,0.053287,0,2.583,51,20,100
9.35640967153286,0.067381,0,4.384,74,22,200
6.496027633851469,0.113527,0,8.685,108,27,300
6.3706597589342095,0.135422,0,9.458,101,51,400
24.947036328871903,0.172881,0,2.615,21,43,500
8.347161798218366,0.207496,0,9.654,71,41,600
8.53780427712627,0.241507,0,10.147,69,53,700
10.4069006737666,0.269161,0,9.202,52,56,800
6.464409898477172,0.3046549999999999,0,15.76,85,48,900
5.22217183062773,0.355214,0,23.593,106,68,1000
7.000638251839035,0.384476,0,18.488,81,75,1100
5.227805907173007,0.4032679999999999,0,26.07,107,86,1200
6.237634552086135,0.446072,0,22.482,85,93,1300
5.3606399077610405,0.475691,0,27.754,98,93,1400
5.701300096701459,0.523162,0,27.921,92,76,1500
7.973403956126376,0.5420119999999999,0,21.334,69,88,1600
14.368108021218449,0.57912,0,12.442,40,85,1700
3.4364774317059954,0.617591,0,54.324,148,117,1800
9.150555663872098,0.642597,0,20.516,57,99,1900
6.016306018682755,0.685111,0,33.828,87,101,2000
4.36892449180688,0.723953,0,54.802,127,115,2100
11.523905868847775,0.7398579999999999,0,20.907,53,130,2200
5.062809382695406,0.78901,0,47.918,107,114,2300
4.889981740023586,0.815249,0,52.574,110,120,2400
14.31388014360671,0.8457910000000001,0,18.105,43,115,2500
3.623060977251328,0.915105,0,74.29,140,119,2600
8.291219569494572,0.967003,0,34.053,65,137,2700
6.222295500010972,0.971995,0,45.489,87,146,2800
11.893758804194718,1.029328,0,25.556,51,162,2900
5.722212087101667,1.067348,0,51.526,92,145,3000
6.347988946883646,1.071049,0,48.855,85,148,3100
4.115622143882987,1.0947829999999998,0,76.59,124,144,3200
7.850251207961705,1.113632,0,41.599,70,123,3300
3.9071318164253626,1.166597,0,87.986,131,168,3400
5.388900661844843,1.236635,0,65.121,99,149,3500
5.849693169467415,1.253157,0,59.805,90,157,3600
5.572216455715832,1.274503,0,64.549,94,142,3700
4.908540252827677,1.278674,0,75.15,107,163,3800
6.587360794792232,1.31609,0,55.763,84,194,3900
11.609986603336978,1.347946,0,32.844,53,195,4000
19.371630509472865,1.361611,0,20.374,39,178,4100
18.81788255797065,1.363538,0,20.657,38,170,4200
6.590017937088916,1.458951,0,68.573,87,182,4300
3.413558839184603,1.486123,0,133.389,150,155,4400
3.3844024522177705,1.564309,0,138.65,149,155,4500
3.909102774823552,1.708619,0,124.116,126,180,4600
6.877718578866436,1.788221,0,74.138,81,167,4700
3.931167904165591,1.6436769999999998,0,128.889,136,180,4800
4.850811331770274,1.695627,0,107.909,113,167,4900
11.735691630975822,1.706732,0,43.195,55,162,5000
3.287697129246567,1.815497,0,159.54,153,190,5100
5.214605895185812,1.806959,0,102.219,102,139,5200
6.942764705134621,1.833491,0,78.663,85,207,5300
9.261495376225769,1.850056,0,60.881,67,200,5400
6.256694325572923,1.943307,0,88.097,89,170,5500
8.115294571649073,1.909065,0,69.966,72,181,5600
4.170490457168228,2.206122,0,135.18,123,194,5700
3.3397905511345414,1.973301,0,169.015,154,193,5800
7.285683346344669,2.021538,0,79.418,78,165,5900
5.215723917576028,2.074807,0,110.793,102,189,6000
4.3751181998167965,2.034655,0,135.364,123,216,6100
6.614479183718032,2.209086,0,91.635,85,197,6200
5.790872906027786,2.109205,0,104.765,97,193,6300
9.85600517109792,2.203789,0,64.203,65,189,6400
5.395392697662203,2.226019,0,114.21,101,210,6500
6.0753420041781965,2.272958,0,103.873,91,167,6600
10.223018195491193,2.248076,0,61.169,61,182,6700
3.452648028428328,2.295235,0,186.856,148,191,6800
4.242448914634906,2.413578,0,157.09,124,177,6900
3.226396242361858,2.381048,0,205.874,153,200,7000
4.557949453430069,2.413711,0,145.727,118,200,7100
4.466526397843779,2.393476,0,151.376,122,192,7200
3.496699852976377,2.546522,0,196.567,140,197,7300
3.5105468630080168,2.496179,0,195.442,139,232,7400
3.756113032537911,2.577301,0,189.963,137,189,7500
3.2383548447480592,2.566316,0,219.031,157,191,7600
3.8848857857555146,2.596524,0,181.895,133,214,7700
3.084265364889532,2.634714,0,234.756,160,210,7800
5.94456666801473,2.698677,0,123.635,94,239,7900
